Gadgets information
============================================================
0x00000000027b0aeb : pop gs ; ret
0x0000000003684b31 : pop rax ; ret 0x94fd
0x00000000015f756a : pop rax ; ret 0x9ac5
0x000000000364580d : pop rax ; ret 0xa4ff
0x0000000000655ce7 : pop rax ; ret 0xa7eb
0x00000000010e2644 : pop rax ; ret 0xa875
0x0000000000655ed4 : pop rax ; ret 0xaaeb
0x0000000000c5e346 : pop rax ; ret 0xb0e9
0x00000000010e27e9 : pop rax ; ret 0xb375
0x00000000015a8168 : pop rax ; ret 0xb60f
0x0000000001778701 : pop rax ; ret 0xb6ff
0x00000000015f4afa : pop rax ; ret 0xb8c5
0x0000000000242a08 : pop rax ; ret 0xb9e9
0x0000000001607258 : pop rax ; ret 0xbac5
0x0000000000052715 : pop rax ; ret 0xbbc5
0x0000000001c82635 : pop rax ; ret 0xbc58
0x00000000002f181a : pop rax ; ret 0xc084
0x00000000002aa19f : pop rax ; ret 0xc1c4
0x0000000000075f8b : pop rax ; ret 0xc1c5
0x0000000001e98b35 : pop rax ; ret 0xc1fc
0x00000000028aff88 : pop rax ; ret 0xc252
0x0000000001c766c8 : pop rax ; ret 0xc254
0x00000000023c7422 : pop rax ; ret 0xc259
0x0000000001d66cc2 : pop rax ; ret 0xc260
0x000000000187b0f6 : pop rax ; ret 0xc26d
0x0000000002308eb2 : pop rax ; ret 0xc2a9
0x0000000000d1054c : pop rax ; ret 0xc2c5
0x0000000001f1b83d : pop rax ; ret 0xc358
0x0000000000052709 : pop rax ; ret 0xc3c5
0x00000000024a958d : pop rax ; ret 0xc458
0x00000000028e8cd8 : pop rax ; ret 0xc4b0
0x000000000360a1e5 : pop rax ; ret 0xc4ff
0x0000000000508be4 : pop rax ; ret 0xc5c3
0x000000000177871d : pop rax ; ret 0xc5ff
0x00000000023bc3e6 : pop rax ; ret 0xc7ef
0x000000000225a10b : pop rax ; ret 0xc858
0x0000000002c08863 : pop rax ; ret 0xc86b
0x00000000015f965a : pop rax ; ret 0xc8c5
0x00000000009c4039 : pop rax ; ret 0xcac5
0x00000000027b9ffa : pop rax ; ret 0xcb15
0x00000000022f73a2 : pop rax ; ret 0xcb95
0x00000000029154b0 : pop rax ; ret 0xce21
0x000000000137a0a8 : pop rax ; ret 0xd1c5
0x0000000000ab1129 : pop rax ; ret 0xd2c5
0x00000000015fc6de : pop rax ; ret 0xd8c5
0x0000000000f87aa9 : pop rax ; ret 0xdac5
0x0000000002cd3a6d : pop rax ; ret 0xdb60
0x0000000001434e61 : pop rax ; ret 0xdb75
0x0000000001434aa0 : pop rax ; ret 0xdc75
0x00000000002cc384 : pop rax ; ret 0xdf
0x0000000000ea06eb : pop rax ; ret 0xe1c4
0x00000000005e9f47 : pop rax ; ret 0xe1c5
0x000000000002b340 : pop rax ; ret 0xe3c4
0x0000000003684b29 : pop rax ; ret 0xe4fd
0x00000000036007f5 : pop rax ; ret 0xe4ff
0x0000000000bb0197 : pop rax ; ret 0xe8c5
0x000000000086e45c : pop rax ; ret 0xe9c5
0x0000000001985d9d : pop rax ; ret 0xef00
0x00000000015fc227 : pop rax ; ret 0xf0c5
0x00000000001817e2 : pop rax ; ret 0xf1c5
0x000000000249694f : pop rax ; ret 0xf253
0x0000000000071163 : pop rax ; ret 0xf2c5
0x0000000000670b31 : pop rax ; ret 0xf3c5
0x000000000145095d : pop rax ; ret 0xf5c5
0x00000000023ee9b7 : pop rax ; ret 0xf703
0x00000000009c40b5 : pop rax ; ret 0xf8c5
0x0000000000124849 : pop rax ; ret 0xf9c5
0x000000000026ac9a : pop rax ; ret 0xfac5
0x0000000000b08437 : pop rax ; ret 0xfae9
0x0000000000304f13 : pop rax ; ret 0xfbc5
0x000000000359dc58 : pop rax ; ret 0xfcc6
0x00000000033baab8 : pop rax ; ret 0xfd1c
0x0000000003256898 : pop rax ; ret 0xfd3d
0x00000000034da688 : pop rax ; ret 0xfd89
0x0000000003380958 : pop rax ; ret 0xfdb4
0x000000000325d6a8 : pop rax ; ret 0xfdb8
0x00000000034cd518 : pop rax ; ret 0xfdd8
0x0000000003265898 : pop rax ; ret 0xfe17
0x00000000013e21e4 : pop rax ; ret 0xfec2
0x0000000000cf4a54 : pop rax ; ret 0xff39
0x0000000003676e0c : pop rax ; ret 0xffc2
0x000000000364efac : pop rax ; ret 0xffc5
0x0000000003623f2c : pop rax ; ret 0xffc7
0x000000000091e804 : pop rax ; ret 0xffd4
0x0000000000c7da84 : pop rax ; ret 0xffdf
0x000000000369527c : pop rax ; ret 0xffe2
0x000000000360092c : pop rax ; ret 0xffed
0x00000000003da853 : pop rax ; ret 0xfff
0x000000000369b18c : pop rax ; ret 0xfffc
0x000000000258991e : pop rax ; ret 0xfffe
0x000000000273904e : pop rax ; ret 1
0x00000000029a5778 : pop rax ; ret 2
0x0000000001476e94 : pop rbp ; pop r12 ; pop rbp ; ret
0x000000000312ebe9 : pop rbp ; pop rax ; ret
0x00000000024bb9fd : pop rbp ; pop rdx ; ret
0x0000000001f0d306 : pop rbp ; pop rsi ; ret 0xb38a
0x00000000000000b6 : pop rbp ; ret
0x00000000023438a0 : pop rbp ; ret 0
0x0000000000045c3f : pop rbp ; ret 0x128
0x00000000028130e0 : pop rbp ; ret 0x1506
0x0000000002809086 : pop rbp ; ret 0x1d7b
0x0000000000a4aaaf : pop rbp ; ret 0x22
0x0000000001653eb7 : pop rbp ; ret 0x223
0x000000000123e1ef : pop rbp ; ret 0x266
0x0000000001ed4ad8 : pop rbp ; ret 0x2c5
0x0000000001a41d7d : pop rbp ; ret 0x2d16
0x0000000001407378 : pop rbp ; ret 0x2deb
0x000000000192bebd : pop rbp ; ret 0x2f1f
0x0000000001a558af : pop rbp ; ret 0x3780
0x0000000000013eb7 : pop rbp ; ret 0x387
0x0000000000bf35ef : pop rbp ; ret 0x3d
0x0000000001ed4c3a : pop rbp ; ret 0x42c5
0x0000000001778395 : pop rbp ; ret 0x44ff
0x00000000019e02ab : pop rbp ; ret 0x4500
0x0000000000daeee8 : pop rbp ; ret 0x45ff
0x00000000003458c0 : pop rbp ; ret 0x4800
0x0000000000345872 : pop rbp ; ret 0x4900
0x000000000249bb93 : pop rbp ; ret 0x4bd2
0x0000000000ad5657 : pop rbp ; ret 0x4c00
0x0000000001f5cdd6 : pop rbp ; ret 0x505
0x000000000177839d : pop rbp ; ret 0x54ff
0x000000000001ab9c : pop rbp ; ret 0x5588
0x00000000024bb39c : pop rbp ; ret 0x5cc5
0x00000000023f91c3 : pop rbp ; ret 0x5d
0x00000000001808ff : pop rbp ; ret 0x61
0x000000000036e9cf : pop rbp ; ret 0x64
0x00000000035c4625 : pop rbp ; ret 0x66fd
0x0000000001f1d02b : pop rbp ; ret 0x6d5d
0x0000000001ed4690 : pop rbp ; ret 0x82c5
0x00000000002c6550 : pop rbp ; ret 0x8545
0x00000000003da4cf : pop rbp ; ret 0x85ff
0x00000000002c63ef : pop rbp ; ret 0x8b44
0x000000000249a721 : pop rbp ; ret 0x8b4c
0x0000000000f9281e : pop rbp ; ret 0x8be8
0x00000000030d0a31 : pop rbp ; ret 0x924c
0x0000000001e6073d : pop rbp ; ret 0x9d4f
0x0000000001900151 : pop rbp ; ret 0xa19
0x000000000039f38f : pop rbp ; ret 0xbc
0x0000000001863b7c : pop rbp ; ret 0xbcf8
0x0000000002351b68 : pop rbp ; ret 0xc1bb
0x0000000002ec36c0 : pop rbp ; ret 0xc1ed
0x000000000278d978 : pop rbp ; ret 0xc22b
0x0000000002be3714 : pop rbp ; ret 0xc255
0x000000000223d642 : pop rbp ; ret 0xc25d
0x000000000239ff36 : pop rbp ; ret 0xc25e
0x00000000027729f8 : pop rbp ; ret 0xc28a
0x00000000004e2869 : pop rbp ; ret 0xc2c5
0x0000000002322ac3 : pop rbp ; ret 0xc35d
0x000000000277a6b2 : pop rbp ; ret 0xc48c
0x000000000274409d : pop rbp ; ret 0xc95d
0x000000000138bc71 : pop rbp ; ret 0xcac5
0x0000000002d6af15 : pop rbp ; ret 0xcc78
0x0000000001778399 : pop rbp ; ret 0xccff
0x00000000029463dc : pop rbp ; ret 0xd17f
0x00000000024a297b : pop rbp ; ret 0xd288
0x0000000002266fd6 : pop rbp ; ret 0xdafe
0x0000000001999ca5 : pop rbp ; ret 0xdd80
0x0000000003691d9d : pop rbp ; ret 0xe4ff
0x0000000001450979 : pop rbp ; ret 0xe9c5
0x00000000003da4fa : pop rbp ; ret 0xe9ff
0x0000000000c6a365 : pop rbp ; ret 0xf02
0x00000000014da271 : pop rbp ; ret 0xf3c5
0x0000000003606e4d : pop rbp ; ret 0xf4ff
0x0000000000167ae7 : pop rbp ; ret 0xfac5
0x0000000001450734 : pop rbp ; ret 0xfbc5
0x0000000000fd02cf : pop rbp ; ret 0xff0e
0x0000000000833e57 : pop rbp ; ret 0xff7c
0x0000000000be720f : pop rbp ; ret 0xffbe
0x0000000002c39c06 : pop rbp ; ret 1
0x00000000015812a2 : pop rbx ; pop r10 ; pop rbp ; ret
0x000000000000317e : pop rbx ; pop r14 ; pop rbp ; ret
0x00000000000e418b : pop rbx ; pop r14 ; ret
0x0000000000003252 : pop rbx ; pop rbp ; ret
0x0000000003123f55 : pop rbx ; pop rdi ; ret 0x7838
0x0000000002880c50 : pop rbx ; pop rdi ; ret 0x7c66
0x0000000002c09979 : pop rbx ; pop rdx ; pop rbx ; ret 0xb436
0x000000000000548a : pop rbx ; ret
0x0000000002343880 : pop rbx ; ret 0
0x000000000051d281 : pop rbx ; ret 0x12b
0x0000000003691d35 : pop rbx ; ret 0x14ff
0x0000000003505215 : pop rbx ; ret 0x16fc
0x0000000001cfb893 : pop rbx ; ret 0x205
0x0000000001cfb82f : pop rbx ; ret 0x206
0x0000000003691d3d : pop rbx ; ret 0x24ff
0x0000000001a5434b : pop rbx ; ret 0x251e
0x0000000001e605ed : pop rbx ; ret 0x264d
0x000000000105dab9 : pop rbx ; ret 0x284
0x0000000001ed46ac : pop rbx ; ret 0x2c5
0x0000000002ccf657 : pop rbx ; ret 0x305d
0x0000000000bd7122 : pop rbx ; ret 0x3100
0x0000000001ee09a3 : pop rbx ; ret 0x405
0x0000000001ed480e : pop rbx ; ret 0x42c5
0x0000000003691d1d : pop rbx ; ret 0x44ff
0x00000000013da685 : pop rbx ; ret 0x48fe
0x0000000000e0bb06 : pop rbx ; ret 0x48ff
0x00000000019ff831 : pop rbx ; ret 0x4b18
0x0000000003539cf5 : pop rbx ; ret 0x4bfd
0x0000000000c6a5e1 : pop rbx ; ret 0x4c02
0x00000000001ecc41 : pop rbx ; ret 0x4e
0x0000000003691d15 : pop rbx ; ret 0x4ff
0x0000000001ee0d8b : pop rbx ; ret 0x505
0x00000000017782c1 : pop rbx ; ret 0x58ff
0x0000000003691d45 : pop rbx ; ret 0x64ff
0x0000000000a67a11 : pop rbx ; ret 0x66
0x00000000018e70d3 : pop rbx ; ret 0x6e1e
0x000000000360ab99 : pop rbx ; ret 0x74fc
0x00000000033ee7b1 : pop rbx ; ret 0x74fd
0x0000000003691d25 : pop rbx ; ret 0x74ff
0x0000000002d1f841 : pop rbx ; ret 0x7a87
0x000000000195d9e1 : pop rbx ; ret 0x7c76
0x0000000001ed4970 : pop rbx ; ret 0x82c5
0x0000000003691d2d : pop rbx ; ret 0x84ff
0x00000000019eb439 : pop rbx ; ret 0x8717
0x0000000003691d4d : pop rbx ; ret 0x94ff
0x0000000001eee051 : pop rbx ; ret 0xa15b
0x0000000001995b03 : pop rbx ; ret 0xb31c
0x0000000002c0997b : pop rbx ; ret 0xb436
0x0000000001ef8fa7 : pop rbx ; ret 0xbd61
0x0000000001c7e38b : pop rbx ; ret 0xbf5b
0x0000000000785531 : pop rbx ; ret 0xc
0x00000000029a8a18 : pop rbx ; ret 0xc020
0x00000000027bd158 : pop rbx ; ret 0xc035
0x0000000002375252 : pop rbx ; ret 0xc16b
0x0000000002948f64 : pop rbx ; ret 0xc1f3
0x0000000002bcdaa4 : pop rbx ; ret 0xc24c
0x000000000223d656 : pop rbx ; ret 0xc25b
0x000000000239ff32 : pop rbx ; ret 0xc25c
0x00000000027b614e : pop rbx ; ret 0xc261
0x0000000001ed4ad2 : pop rbx ; ret 0xc2c5
0x000000000185edca : pop rbx ; ret 0xc308
0x0000000001f166e7 : pop rbx ; ret 0xc35b
0x00000000028b67f6 : pop rbx ; ret 0xc426
0x0000000002cd1afb : pop rbx ; ret 0xc45b
0x00000000027cf874 : pop rbx ; ret 0xc555
0x00000000023f24a1 : pop rbx ; ret 0xc779
0x0000000002d146d7 : pop rbx ; ret 0xc7bb
0x00000000023c32ea : pop rbx ; ret 0xce6c
0x00000000027b0cf6 : pop rbx ; ret 0xcf2e
0x000000000079e8b6 : pop rbx ; ret 0xe9ff
0x00000000024721a6 : pop rbx ; ret 0xf1e8
0x000000000241081c : pop rbx ; ret 0xf242
0x0000000000137557 : pop rbx ; ret 0xf8c5
0x0000000000ff3ef9 : pop rbx ; ret 0xff00
0x00000000006b3e59 : pop rbx ; ret 0xff94
0x000000000048bcc1 : pop rbx ; ret 0xffcd
0x00000000013da5a1 : pop rbx ; ret 0xffe
0x0000000002985bec : pop rbx ; ret 1
0x00000000010afce1 : pop rbx ; ret 7
0x0000000001eed867 : pop rcx ; pop rax ; ret 0x7f81
0x0000000000069e4a : pop rcx ; ret
0x000000000183fdbc : pop rcx ; ret 0
0x0000000000885663 : pop rcx ; ret 0x14d
0x0000000002d146d2 : pop rcx ; ret 0x15bc
0x00000000028336f0 : pop rcx ; ret 0x1f9
0x0000000001ee1053 : pop rcx ; ret 0x205
0x00000000013be1f3 : pop rcx ; ret 0x24e
0x0000000003691cc5 : pop rcx ; ret 0x24ff
0x0000000000dd3ebb : pop rcx ; ret 0x2ab
0x0000000001ed4988 : pop rcx ; ret 0x2c5
0x0000000002d2f1d0 : pop rcx ; ret 0x2c9c
0x0000000001ee1063 : pop rcx ; ret 0x305
0x00000000004dd513 : pop rcx ; ret 0x33c
0x0000000003691ccd : pop rcx ; ret 0x34ff
0x000000000042f9a9 : pop rcx ; ret 0x3900
0x0000000000d65fad : pop rcx ; ret 0x400f
0x0000000001ee08a3 : pop rcx ; ret 0x405
0x000000000042f99e : pop rcx ; ret 0x4100
0x0000000001ed4aea : pop rcx ; ret 0x42c5
0x0000000003691cb5 : pop rcx ; ret 0x44ff
0x0000000000c6a7e4 : pop rcx ; ret 0x4802
0x00000000007b6294 : pop rcx ; ret 0x48ff
0x0000000001379f7d : pop rcx ; ret 0x49c5
0x0000000000598fca : pop rcx ; ret 0x49ff
0x0000000000bd73c8 : pop rcx ; ret 0x4c00
0x0000000001ee1043 : pop rcx ; ret 0x505
0x00000000019f92ab : pop rcx ; ret 0x519
0x0000000002d1b5d7 : pop rcx ; ret 0x5200
0x00000000017782ad : pop rcx ; ret 0x58ff
0x00000000023f1a2b : pop rcx ; ret 0x5a
0x0000000002738094 : pop rcx ; ret 0x6000
0x00000000030d0a9d : pop rcx ; ret 0x644e
0x0000000000276f56 : pop rcx ; ret 0x6600
0x0000000003691cbd : pop rcx ; ret 0x74ff
0x00000000023f1047 : pop rcx ; ret 0x75
0x00000000015f585e : pop rcx ; ret 0x78c5
0x0000000000f56d0f : pop rcx ; ret 0x7c
0x00000000017782a9 : pop rcx ; ret 0x81ff
0x000000000160f3e2 : pop rcx ; ret 0x82c5
0x00000000019f66c9 : pop rcx ; ret 0x8372
0x0000000000d3f8cf : pop rcx ; ret 0x840f
0x000000000036eb18 : pop rcx ; ret 0x8545
0x0000000001921e4b : pop rcx ; ret 0x8589
0x00000000019fe153 : pop rcx ; ret 0x8664
0x00000000015f8fed : pop rcx ; ret 0x88c5
0x0000000000911ff9 : pop rcx ; ret 0x8949
0x00000000014de7e6 : pop rcx ; ret 0x8b48
0x0000000000052b44 : pop rcx ; ret 0x91c5
0x000000000160a39a : pop rcx ; ret 0x92c5
0x0000000000b8e7a4 : pop rcx ; ret 0x93c5
0x00000000008c167f : pop rcx ; ret 0x948
0x0000000003691cd5 : pop rcx ; ret 0x94ff
0x000000000091201e : pop rcx ; ret 0x950f
0x00000000015f7dc2 : pop rcx ; ret 0x9ac5
0x00000000015fe0be : pop rcx ; ret 0xa2c5
0x0000000003691cdd : pop rcx ; ret 0xa4ff
0x00000000017782b5 : pop rcx ; ret 0xa5ff
0x00000000015f70b6 : pop rcx ; ret 0xaac5
0x000000000258ff53 : pop rcx ; ret 0xb006
0x0000000001613cc6 : pop rcx ; ret 0xb0c5
0x00000000015fe411 : pop rcx ; ret 0xb2c5
0x00000000019a15cd : pop rcx ; ret 0xb319
0x00000000024a3361 : pop rcx ; ret 0xbd8f
0x000000000287a8a6 : pop rcx ; ret 0xbda5
0x000000000223a0a6 : pop rcx ; ret 0xbe8f
0x0000000000d65c9b : pop rcx ; ret 0xc148
0x00000000004829b9 : pop rcx ; ret 0xc1c4
0x000000000239ff2e : pop rcx ; ret 0xc25a
0x0000000002be371c : pop rcx ; ret 0xc265
0x0000000000a4fb2a : pop rcx ; ret 0xc274
0x000000000278d04e : pop rcx ; ret 0xc299
0x0000000002ec351a : pop rcx ; ret 0xc2a4
0x000000000011e5a9 : pop rcx ; ret 0xc2c5
0x000000000278d992 : pop rcx ; ret 0xc2e7
0x0000000001f13d79 : pop rcx ; ret 0xc359
0x0000000002494e13 : pop rcx ; ret 0xc38f
0x0000000002498f51 : pop rcx ; ret 0xc3ad
0x00000000015a42be : pop rcx ; ret 0xc3c5
0x0000000001fdbe7e : pop rcx ; ret 0xc4c4
0x0000000001602009 : pop rcx ; ret 0xc500
0x0000000001ce906c : pop rcx ; ret 0xc599
0x0000000002c09901 : pop rcx ; ret 0xc859
0x0000000001d2f3de : pop rcx ; ret 0xc999
0x00000000012e6880 : pop rcx ; ret 0xc9e8
0x000000000007114a : pop rcx ; ret 0xcac5
0x0000000002266fba : pop rcx ; ret 0xcaeb
0x00000000027ba13a : pop rcx ; ret 0xce04
0x00000000015f6aa4 : pop rcx ; ret 0xd2c5
0x00000000005876b4 : pop rcx ; ret 0xd3c5
0x0000000003609a7d : pop rcx ; ret 0xd4ff
0x00000000003e8fa6 : pop rcx ; ret 0xd9c5
0x00000000002e0dae : pop rcx ; ret 0xdac5
0x000000000104bab5 : pop rcx ; ret 0xdbc5
0x0000000003684b39 : pop rcx ; ret 0xdcfd
0x000000000160918e : pop rcx ; ret 0xe0c5
0x000000000086ad83 : pop rcx ; ret 0xe1c4
0x0000000000cfcdff : pop rcx ; ret 0xe2c4
0x00000000010c08d1 : pop rcx ; ret 0xe2c5
0x00000000015023a2 : pop rcx ; ret 0xe2e9
0x0000000000125b1f : pop rcx ; ret 0xe3c4
0x00000000005876c5 : pop rcx ; ret 0xe3c5
0x0000000001615aac : pop rcx ; ret 0xe8c5
0x00000000024107f4 : pop rcx ; ret 0xe9ad
0x000000000161875d : pop rcx ; ret 0xeac5
0x0000000000af70e0 : pop rcx ; ret 0xf0c5
0x00000000004ab39f : pop rcx ; ret 0xf1c5
0x000000000018c298 : pop rcx ; ret 0xf2c5
0x000000000040c5cb : pop rcx ; ret 0xf3c5
0x0000000000feff76 : pop rcx ; ret 0xf41
0x0000000000d10419 : pop rcx ; ret 0xf44
0x00000000001cb2d5 : pop rcx ; ret 0xf5c5
0x0000000000413124 : pop rcx ; ret 0xf8c5
0x0000000000069adc : pop rcx ; ret 0xf9c5
0x000000000007ca2f : pop rcx ; ret 0xfac5
0x0000000000033fc3 : pop rcx ; ret 0xfbc5
0x00000000002a1ab0 : pop rcx ; ret 0xfcc5
0x00000000014dace5 : pop rcx ; ret 0xfdc5
0x00000000011bbcc3 : pop rcx ; ret 0xfefa
0x00000000006938f8 : pop rcx ; ret 0xffb9
0x00000000029b9f66 : pop rcx ; ret 1
0x0000000001f19b29 : pop rdi ; pop r15 ; ret
0x00000000025149dc : pop rdi ; pop rax ; ret
0x00000000000000b5 : pop rdi ; pop rbp ; ret
0x0000000001effa12 : pop rdi ; pop rdi ; ret 0x9d5c
0x0000000000b872cd : pop rdi ; pop rsp ; ret
0x00000000000bae5b : pop rdi ; ret
0x00000000023438ac : pop rdi ; ret 0
0x0000000003691de5 : pop rdi ; ret 0x14ff
0x00000000019ce47d : pop rdi ; ret 0x1d1a
0x000000000129fafd : pop rdi ; ret 0x1f1
0x0000000003691ded : pop rdi ; ret 0x24ff
0x0000000000fb8d81 : pop rdi ; ret 0x28e
0x00000000023a6373 : pop rdi ; ret 0x2962
0x0000000001ed47f8 : pop rdi ; ret 0x2c5
0x0000000003691dd5 : pop rdi ; ret 0x34ff
0x000000000360abb1 : pop rdi ; ret 0x3cfc
0x0000000001ee0a83 : pop rdi ; ret 0x405
0x0000000001ed495a : pop rdi ; ret 0x42c5
0x0000000001455510 : pop rdi ; ret 0x45ff
0x00000000013da1c1 : pop rdi ; ret 0x48fe
0x0000000000ed31d3 : pop rdi ; ret 0x48ff
0x0000000000541f3b : pop rdi ; ret 0x49ff
0x0000000000636603 : pop rdi ; ret 0x4c00
0x000000000360aba9 : pop rdi ; ret 0x4fc
0x0000000001f5689e : pop rdi ; ret 0x505
0x00000000017783ad : pop rdi ; ret 0x58ff
0x00000000017783a9 : pop rdi ; ret 0x5cff
0x00000000023f8df5 : pop rdi ; ret 0x5f
0x000000000360abb9 : pop rdi ; ret 0x68fc
0x00000000005fd3bd : pop rdi ; ret 0x6e
0x000000000360abc1 : pop rdi ; ret 0x74fc
0x0000000001966891 : pop rdi ; ret 0x7680
0x0000000003123f56 : pop rdi ; ret 0x7838
0x0000000003684b51 : pop rdi ; ret 0x78fd
0x0000000002880c51 : pop rdi ; ret 0x7c66
0x000000000031c7b1 : pop rdi ; ret 0x8000
0x0000000001ed4abc : pop rdi ; ret 0x82c5
0x0000000000b5c64a : pop rdi ; ret 0x8348
0x000000000355b8d9 : pop rdi ; ret 0x85fd
0x000000000069485e : pop rdi ; ret 0x8949
0x000000000191ab23 : pop rdi ; ret 0x8c72
0x00000000035c7b59 : pop rdi ; ret 0x8fd
